PID,BIAS,REPS,Elapsed,MS
4,fillerREL,30,6.212777778,970
4,fillerREL,30,3.664444444,987
4,fillerREL,30,1.718333333,1378
4,fillerREL,30,3.261111111,1435
4,fillerREL,30,5.7675,1484
4,fillerREL,30,6.173888889,1589
4,fillerREL,30,2.066666667,1730
4,fillerREL,30,3.845,1772
4,fillerREL,30,2.445833333,1981
4,fillerUNREL,0,,763
4,fillerUNREL,0,,1106
4,fillerUNREL,0,,1138
4,fillerUNREL,0,,1306
4,fillerUNREL,0,,1362
4,fillerUNREL,0,,1515
4,fillerUNREL,0,,1546
4,fillerUNREL,0,,1579
4,fillerUNREL,0,,1588
4,fillerUNREL,0,,1595
4,fillerUNREL,0,,1810
4,fillerUNREL,0,,2956
4,fillerUNREL,3,3.698888889,964
4,fillerUNREL,3,3.635,987
4,fillerUNREL,3,4.095555556,1003
4,fillerUNREL,3,1.135,1147
4,fillerUNREL,3,5.153611111,1225
4,fillerUNREL,3,5.759444444,1274
4,fillerUNREL,3,3.678333333,1362
4,fillerUNREL,3,2.937777778,1395
4,fillerUNREL,3,4.649444444,1538
4,fillerUNREL,3,5.674722222,2076
4,fillerUNREL,3,3.785277778,3523
4,fillerUNREL,3,5.313333333,3979
4,fillerUNREL,30,2.244444444,989
4,fillerUNREL,30,4.4225,1026
4,fillerUNREL,30,3.131944444,1099
4,fillerUNREL,30,1.587222222,1187
4,fillerUNREL,30,2.568888889,1563
4,fillerUNREL,30,3.721111111,1595
4,fillerUNREL,30,3.297222222,1602
4,fillerUNREL,30,3.711388889,1635
4,fillerUNREL,30,5.145833333,1800
4,fillerUNREL,30,5.684444444,1819
4,fillerUNREL,30,2.843055556,2476
4,fillerUNREL,30,4.646944444,2770
4,subordinate,0,,667
4,subordinate,0,,787
4,subordinate,0,,971
4,subordinate,0,,973
4,subordinate,0,,1010
4,subordinate,0,,1306
4,subordinate,0,,1755
4,subordinate,0,,3035
4,subordinate,3,2.486388889,1019
4,subordinate,3,3.120277778,1075
4,subordinate,3,3.1325,1083
4,subordinate,3,4.075833333,1132
4,subordinate,3,3.648333333,1267
4,subordinate,3,2.098888889,1322
4,subordinate,3,6.380277778,1579
4,subordinate,3,4.016944444,2123
4,subordinate,30,4.043333333,859
4,subordinate,30,2.146944444,875
4,subordinate,30,5.343055556,1050
4,subordinate,30,2.789166667,1108
4,subordinate,30,5.117222222,1138
4,subordinate,30,5.407777778,1155
4,subordinate,30,3.288888889,1346
4,subordinate,30,4.881944444,1613
4,unrelated,0,,826
4,unrelated,0,,1066
4,unrelated,0,,1314
4,unrelated,0,,1466
4,unrelated,0,,1756
4,unrelated,0,,2251
4,unrelated,0,,2269
4,unrelated,0,,3339
4,unrelated,3,5.746388889,994
4,unrelated,3,1.218055556,1018
4,unrelated,3,3.243888889,1122
4,unrelated,3,4.57,1411
4,unrelated,3,5.2725,1467
4,unrelated,3,2.4075,1746
4,unrelated,3,2.419722222,2371
4,unrelated,3,5.602222222,3424
4,unrelated,30,3.998055556,1082
4,unrelated,30,6.283888889,1115
4,unrelated,30,4.510833333,1124
4,unrelated,30,2.643055556,1419
4,unrelated,30,5.823055556,1579
4,unrelated,30,3.464444444,2115
4,unrelated,30,6.084166667,2516
4,unrelated,30,4.761388889,2908
5,dominant,0,,651
5,dominant,0,,698
5,dominant,0,,762
5,dominant,0,,810
5,dominant,0,,930
5,dominant,0,,1036
5,dominant,0,,1108
5,dominant,0,,1146
5,dominant,3,4.313055556,610
5,dominant,3,6.129166667,812
5,dominant,3,3.117222222,883
5,dominant,3,3.050277778,924
5,dominant,3,5.2525,1059
5,dominant,3,3.609166667,1090
5,dominant,3,4.83,1148
5,dominant,3,3.095555556,1171
5,dominant,30,4.848611111,587
5,dominant,30,4.397777778,627
5,dominant,30,2.240555556,747
5,dominant,30,4.74,875
5,dominant,30,5.659722222,954
5,dominant,30,4.875277778,1013
5,dominant,30,1.889444444,1027
5,dominant,30,1.724444444,2059
5,fillerREL,0,,754
5,fillerREL,0,,763
5,fillerREL,0,,875
5,fillerREL,0,,892
5,fillerREL,0,,905
5,fillerREL,0,,964
5,fillerREL,0,,971
5,fillerREL,0,,980
5,fillerREL,0,,996
5,fillerREL,0,,1036
5,fillerREL,0,,1065
5,fillerREL,0,,1384
5,fillerREL,3,4.660277778,660
5,fillerREL,3,2.578055556,698
5,fillerREL,3,3.524444444,700
5,fillerREL,3,2.863055556,827
5,fillerREL,3,3.1925,858
5,fillerREL,3,3.613055556,876
5,fillerREL,3,3.066666667,922
5,fillerREL,3,4.823611111,1034
5,fillerREL,3,2.671944444,1043
5,fillerREL,3,3.88,1234
5,fillerREL,3,1.386944444,1331
5,fillerREL,3,4.006388889,1570
5,fillerREL,30,1.889722222,602
5,fillerREL,30,3.6625,691
