PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8
59,subordinate,30,1681.75,1475,4410,722,1298,1035,1386,1259,1778
59,unrelated,3,1664.083333,2194,1730,1778,1026,978,1106,1866,1763
59,unrelated,30,1664.083333,1954,2194,3050,1395,1650,3330,931,1202
60,dominant,3,1092.25,730,778,1147,987,803,1003,618,683
60,dominant,30,1092.25,1076,1267,866,961,691,1795,859,1497
60,subordinate,3,1232.375,1106,1210,891,1257,1331,2717,1017,898
60,subordinate,30,1232.375,1465,898,1714,1930,946,1260,658,1802
60,unrelated,3,1321,2617,1458,1154,1052,874,1819,1090,793
60,unrelated,30,1321,881,1154,963,1521,929,1497,1275,3618
61,dominant,3,1294.958333,1738,1306,2650,970,747,2722,850,1218
61,dominant,30,1294.958333,1386,1107,1490,938,1866,1162,1636,978
61,subordinate,3,1523.708333,1690,915,698,682,1011,891,978,1282
61,subordinate,30,1523.708333,1378,619,1330,1714,2826,2602,3979,642
61,unrelated,3,4235.625,3139,6211,2203,1066,7570,4986,3147,4502
61,unrelated,30,4235.625,3954,8675,3739,6946,4138,2075,5850,4690
62,dominant,3,1847.666667,794,954,1290,1690,4802,7284,1762,922
62,dominant,30,1847.666667,1538,2138,1179,3162,946,3052,946,1626
62,subordinate,3,2031,1611,1499,1138,1362,1402,1946,3652,1906
62,subordinate,30,2031,2690,1843,3322,1683,1851,1866,1250,930
62,unrelated,3,3541.75,3586,14291,9889,1370,2742,2002,6602,1226
62,unrelated,30,3541.75,1915,4074,1850,6578,6379,3466,2516,1507
63,dominant,3,1664.416667,1147,1276,1195,1418,2010,1493,1529,2618
63,dominant,30,1664.416667,2172,1113,1299,1139,5099,1076,1185,1626
63,subordinate,3,2059.333333,2091,1635,1859,1873,1652,2794,2178,2329
63,subordinate,30,2059.333333,4138,2228,1833,1235,1409,4289,2787,1299
63,unrelated,3,2634.708333,1618,5227,3817,2154,2618,3961,1626,3730
63,unrelated,30,2634.708333,1241,2075,1625,1411,1521,2106,4236,5937
