PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,PID,MEAN,STDEV
15,dominant,30,1532.375,1689,1082,730,1538,898,898,1650,1450,-0.326816119,-0.147258721,-0.843133201,-1.246671615,-0.320367529,-1.054073736,-1.054073736,-0.191968943,-0.421252132,,,
15,subordinate,3,1781.75,995,2609,1506,1242,1402,1827,1875,1099,-0.040928642,-0.942871389,0.907443951,-0.357052839,-0.659706649,-0.476280098,0.01094668,0.065974645,-0.82364413,,,
15,subordinate,30,1781.75,2394,1227,1418,1267,2842,1410,1227,722,-0.040928642,0.660964522,-0.676902889,-0.457937443,-0.631046251,1.174558867,-0.46710877,-0.676902889,-1.255842942,,,
15,unrelated,3,2224.666667,1899,1050,1851,1042,1594,1963,1635,3876,0.466838089,0.093488628,-0.879818511,0.038460663,-0.888989839,-0.256168236,0.166859249,-0.209165182,2.359952957,,,
15,unrelated,30,2224.666667,2291,2226,4674,2290,1171,4147,2123,1666,0.466838089,0.54288368,0.468366643,3.274792883,0.541737264,-0.741102182,2.670631679,0.3502858,-0.173626288,,,
16,dominant,3,1108.208333,1131,2354,1250,899,890,1930,778,610,-0.508941224,-0.487488864,0.663643982,-0.375481661,-0.705855847,-0.71432698,0.264559496,-0.819745523,-0.977873339,,,
16,dominant,30,1108.208333,802,866,1466,1002,690,915,611,514,-0.508941224,-0.797155835,-0.736916668,-0.17217447,-0.608908436,-0.902574379,-0.690796055,-0.976932102,-1.06823209,,,
16,subordinate,3,1795.25,1378,674,1466,3450,2746,5547,1612,2074,0.137727811,-0.255003326,-0.917634171,-0.17217447,1.69523973,1.032608885,3.66901371,-0.034753869,0.400097623,,,
16,subordinate,30,1795.25,1218,1010,1122,1066,914,1234,2306,867,0.137727811,-0.405601245,-0.60137854,-0.495959997,-0.548669268,-0.691737292,-0.390541453,0.618464606,-0.735975431,,,
16,unrelated,3,2035.916667,4339,738,1274,4594,1450,1330,1946,1098,0.364252181,2.531999419,-0.857395003,-0.352891973,2.772014853,-0.187234262,-0.300182702,0.279619288,-0.518549685,,,
16,unrelated,30,2035.916667,1570,1403,2530,3930,994,1283,978,3235,0.364252181,-0.074285823,-0.231472401,0.829301694,2.147033488,-0.616438332,-0.34442084,-0.631498124,1.492873776,,,
17,dominant,3,1829,1274,1466,1579,3290,1746,5875,803,2866,-0.384308764,-0.730986978,-0.611055056,-0.540470122,0.528298211,-0.436154335,2.143006651,-1.025194977,0.263448548,,,
17,dominant,30,1829,1154,3059,1098,1593,1332,2362,2244,1354,-0.384308764,-0.80594443,0.384005116,-0.840924574,-0.531725086,-0.694757543,-0.051372749,-0.12508091,-0.681015344,,,
17,subordinate,3,2542.375,10618,4539,5954,1611,1467,1059,1378,1273,0.06129767,5.105699932,1.308480355,2.19235364,-0.520481468,-0.61043041,-0.865285746,-0.666023854,-0.731611624,,,
17,subordinate,30,2542.375,1378,3241,1385,1698,1961,2042,1093,923,0.06129767,-0.666023854,0.497690585,-0.661651336,-0.466137316,-0.301855567,-0.251259287,-0.844047802,-0.950237525,,,
17,unrelated,3,2526.416667,2643,2826,1890,4474,1481,1578,1662,2250,0.051329371,0.124152617,0.238462731,-0.346205393,1.267878402,-0.601685374,-0.541094767,-0.488624551,-0.121333038,,,
17,unrelated,30,2526.416667,6289,2651,2602,1516,4730,2618,2107,1450,0.051329371,2.40160986,0.12914978,0.098542154,-0.579822784,1.427787632,0.108536481,-0.210657334,-0.621049383,,,
18,dominant,3,1471.416667,1242,1402,1098,1042,1058,1042,3500,2710,-0.269035336,-0.58174561,-0.3636549,-0.778027248,-0.854358997,-0.832549926,-0.854358997,2.496059531,1.419236652,,,
18,dominant,30,1471.416667,2482,1011,1290,890,1171,1330,1547,1410,-0.269035336,1.10845739,-0.896614072,-0.516318397,-1.061545171,-0.678523362,-0.461795719,-0.166010194,-0.352750364,,,
18,subordinate,3,1906.041667,1547,2419,1146,1170,995,1170,1490,1139,0.32338763,-0.166010194,1.022584174,-0.712600035,-0.679886429,-0.918423143,-0.679886429,-0.24370501,-0.722141504,,,
18,subordinate,30,1906.041667,3730,1154,2803,4818,1706,1938,1610,1130,0.32338763,2.809564926,-0.7016955,1.546001877,4.292581752,0.050717448,0.366948978,-0.080136977,-0.734409106,,,
